entry_i,entry_time,side,oz,entry_px,signal_expiry_i,exit_time,exit_px,gross_pnl,costs,net_pnl,exit_reason,bars_held
83696,1731936900,1,1.0,2601.45,83779,1731962100,2609.41,7.960000000000036,0.16,7.800000000000036,signal,84
84240,1732107900,1,1.0,2632.98,84323,1732133100,2650.45,17.4699999999998,0.16,17.3099999999998,signal,84
85340,1732626600,1,1.0,2638.75,85423,1732651800,2629.48,-9.269999999999982,0.16,-9.429999999999982,signal,84
86472,1733171700,1,1.0,2643.61,86555,1733172900,2638.83,-4.7800000000002,0.16,-4.9400000000002,session,3
86500,1733184000,1,1.0,2642.25,86555,1733200800,2639.48,-2.769999999999982,0.16,-2.929999999999982,signal,56
86666,1733233800,1,1.0,2650.09,86749,1733259000,2642.17,-7.920000000000073,0.16,-8.080000000000073,signal,84
87776,1733755500,1,1.0,2672.5,87859,1733777700,2658.0,-14.5,0.16,-14.66,session,73
90258,1734708300,1,1.0,2624.98,90341,1734727500,2624.49,-0.49000000000023647,0.16,-0.6500000000002365,session,63
90832,1735061400,1,1.0,2619.21,90915,1735168200,2616.83,-2.380000000000109,0.16,-2.5400000000001093,data_gap,15
90858,1735171200,1,1.0,2618.32,90915,1735188600,2628.3,9.980000000000018,0.16,9.820000000000018,signal,58
91040,1735225800,1,1.0,2633.52,91123,1735246500,2634.59,1.0700000000001637,0.16,0.9100000000001637,session,68
91858,1735656000,1,1.0,2616.66,91941,1735678500,2623.3,6.640000000000327,0.16,6.480000000000327,session,74
92938,1736255100,1,1.0,2652.94,93021,1736280300,2648.34,-4.599999999999909,0.16,-4.759999999999909,signal,84
94391,1736883600,1,1.0,2676.0,94474,1736888100,2674.93,-1.0700000000001637,0.16,-1.2300000000001636,session,14
94430,1736899200,1,1.0,2675.62,94474,1736912700,2675.55,-0.06999999999970896,0.16,-0.22999999999970897,signal,45
94593,1736948100,1,1.0,2687.75,94676,1736973300,2694.89,7.139999999999873,0.16,6.9799999999998725,signal,84
94868,1737034500,1,1.0,2713.58,94951,1737059700,2716.8,3.2200000000002547,0.16,3.0600000000002545,signal,84
95870,1737532800,-1,1.0,2748.72,95953,1737558000,2753.94,-5.220000000000255,0.16,-5.380000000000255,signal,84
95955,1737558300,-1,1.0,2752.7,96038,1737579300,2756.24,-3.5399999999999636,0.16,-3.6999999999999638,session,69
96151,1737621000,-1,1.0,2754.15,96234,1737646200,2743.24,10.91000000000031,0.16,10.750000000000309,signal,84
96424,1737706800,-1,1.0,2770.9,96507,1737732000,2783.86,-12.960000000000036,0.16,-13.120000000000037,signal,84
96682,1737961200,-1,1.0,2754.71,96765,1738011300,2740.99,13.720000000000255,0.16,13.560000000000255,session,166
97580,1738242300,1,1.0,2782.23,97663,1738267500,2792.95,10.7199999999998,0.16,10.5599999999998,signal,84
97785,1738307700,-1,1.0,2796.05,97868,1738332900,2805.63,-9.579999999999927,0.16,-9.739999999999927,signal,84
97881,1738336500,1,1.0,2815.35,97964,1738356300,2798.77,-16.579999999999927,0.16,-16.739999999999927,session,65
98129,1738587900,1,1.0,2809.87,98212,1738613100,2818.88,9.010000000000218,0.16,8.850000000000218,signal,84
98408,1738675500,1,1.0,2832.27,98491,1738700700,2841.19,8.920000000000073,0.16,8.760000000000073,signal,84
98673,1738758900,-1,1.0,2869.91,98756,1738784100,2867.39,2.519999999999982,0.16,2.3599999999999817,signal,84
98900,1738830900,-1,1.0,2852.69,98983,1738856100,2845.11,7.579999999999927,0.16,7.419999999999927,signal,84
98985,1738856400,-1,1.0,2849.04,99068,1738872600,2856.9,-7.860000000000127,0.16,-8.020000000000127,signal,54
99039,1738872600,1,1.0,2856.9,99122,1738875300,2856.47,-0.43000000000029104,0.16,-0.5900000000002911,session,8
99072,1738886400,1,1.0,2858.15,99122,1738901700,2868.34,10.190000000000055,0.16,10.030000000000054,signal,51
99156,1738911600,-1,1.0,2860.7,99239,1738936800,2862.59,-1.8900000000003274,0.16,-2.0500000000003276,signal,84
99719,1739261400,-1,1.0,2912.48,99802,1739286600,2899.11,13.36999999999989,0.16,13.20999999999989,signal,84
100096,1739378400,-1,1.0,2896.4,100179,1739380500,2908.76,-12.360000000000127,0.16,-12.520000000000127,signal,7
100103,1739380500,1,1.0,2908.76,100186,1739393700,2900.45,-8.3100000000004,0.16,-8.4700000000004,session,43
100171,1739404800,1,1.0,2905.83,100186,1739409600,2904.28,-1.5499999999997272,0.16,-1.709999999999727,signal,16
100261,1739431800,-1,1.0,2916.27,100344,1739457000,2909.37,6.900000000000091,0.16,6.740000000000091,signal,84
